delta_over_gamma_e,Re_chi_full,Im_chi_full,Re_chi_cut,Im_chi_cut,Re_R_S,Im_R_S
-1.004,0.5395536987088169,-0.4975172190247269,0.4980039999681277,-0.49999601596800025,0.041549698740689145,0.0024787969432733536
-1.003,0.5401340958622184,-0.49746789506878314,0.4985022499899055,-0.4999977567398751,0.04163184587231289,0.002529861671091982
-1.002,0.5407151441590532,-0.49741782499715403,0.49900099999800396,-0.499999001998,0.04171414416104924,0.00258117700084598
-1.001,0.5412968437123827,-0.49736700624537905,0.49950024999987513,-0.4999997502498749,0.0417965937125076,0.0026327440044958683
-1.0,0.5418791946308725,-0.4973154362416107,0.5,-0.5,0.04187919463087253,0.0026845637583893245
-0.9989999999999999,0.5424621970187655,-0.4972631124066002,0.5005002499998749,-0.49999974974987493,0.041961947018890666,0.002736637343274728
-0.998,0.5430458509758519,-0.497210032153679,0.501000999997996,-0.49999899799799996,0.04204485097785593,0.0027889658443209786
-0.9969999999999999,0.5436301565974412,-0.49715619288874136,0.5015022499898446,-0.499997743239875,0.04212790660759658,0.002841550351133648
-0.996,0.5442151139743305,-0.49710159201022797,0.5020039999678717,-0.4999959839680002,0.04221111400645883,0.0028943919577722466
-0.9949999999999999,0.5448007231927778,-0.49704622690910705,0.5025062499214835,-0.49999371867187603,0.04229447327129432,0.0029474917627689834
-0.994,0.5453869843344697,-0.496990094968859,0.5030089998370251,-0.4999909458380029,0.042377984497444676,0.003000850869143923
