Gamma_over_gamma_e,abs_R_full_optical,abs_R_all_coherences,abs_R_selective_e2,abs_R_class_I
0.8312514989890627,0.3585020739393403,0.02659026722649083,0.7796056561395717,1.1102230246251565e-16
0.8772912801613356,0.34641839987202205,0.024093164560271947,0.7792516716053205,1.1986883703047438e-16
0.925881025397395,0.33434618497968643,0.021792621995481664,0.7788819140111217,0.0
0.9771619672696171,0.32230656513929656,0.019677678848807015,0.7784959823711449,1.1102230246251565e-16
1.0312831606721846,0.3103207902643991,0.017737483619173138,0.7780935109867253,5.551115123125783e-17
1.0884019160690055,0.2984100966658029,0.015961352087507697,0.77767417797498,5.551115123125783e-17
1.1486842567375537,0.28659557747239633,0.014338819895791152,0.7772377148861781,1.1102230246251565e-16
1.2123054013376515,0.2748980525114748,0.012859689404061982,0.7767839174892176,1.1736683672762902e-16
1.2794502732078734,0.2633379390560882,0.011514070709425157,0.776312657797377,0.0
1.3503140378698721,0.25193512483075964,0.010292416795309274,0.7758238973947482,3.5712829543163477e-17
1.4251026703029979,0.24070884462806344,0.009185552860456093,0.7753177021063021,0.0
1.5040335536380236,0.22967756182933988,0.008184699953717092,0.7747942580301292,6.478089449440587e-17
1.5873361110102087,0.21885885604612768,0.00728149311111833,0.7742538889176954,0.0
1.6752524724082138,0.20826931800803603,0.006467994254494927,0.7736970748454896,0.0
1.7680381784572068,0.19792445272117185,0.005736700165229048,0.7731244720678213,3.000069688599297e-17
1.865962923181746,0.18783859181236853,0.005080545891449457,0.7725369338743936,6.258302617191223e-17
1.9693113379074219,0.17802481586146396,0.004492903982031052,0.771935532196574,0.0
2.0783838185797574,0.168494887409535,0.00396757996570552,0.7713215796123684,6.161846343319067e-17
2.1934973989050577,0.15925919521741122,0.0034988045087522538,0.7706966512920234,2.5696960042725085e-17
2.3149866718511607,0.15032671023735672,0.0030812226905095625,0.7700626063049724,5.551115123125783e-17
2.443204762186487,0.14170495365210992,0.00270988083302572,0.7694216075768573,5.551115123125783e-17
2.5785243528842736,0.13339997722922153,0.0023802113104524673,0.768776139646626,5.996211634911656e-17
2.721338768375306,0.1254163561338307,0.0020880157462865967,0.7681290232343135,5.551115123125783e-17
2.872063117797828,0.11775719423795805,0.0018294469834204395,0.7674834254984791,0.0
3.0311355015675763,0.11042414185697251,0.0016009901843347212,0.7668428647493747,2.7755575615628914e-17
3.1990182847750637,0.10341742573174058,0.001399443387820143,0.7662112083032193,2.7755575615628914e-17
3.3761994411113365,0.09673589095590542,0.0012218978154628997,0.7655926621301625,2.7755575615628914e-17
3.5631939712285843,0.09037705441994577,0.0010657181868163985,0.7649917509807972,5.81217672002518e-17
3.760545399658168,0.08433716920618271,0.0009285232676455254,0.7644132877908916,0.0
3.968827354637162,0.07861129922180919,0.0008081668416805963,0.7638623313773427,2.7755575615628914e-17
4.188645235435271,0.07319340320185799,0.0007027192636450535,0.7633441317625183,0.0
4.42063797202853,0.06807642705386692,0.0006104497204710731,0.7628640629050906,1.4075089385241564e-17
4.6654798822344725,0.06325240335559587,0.0005298092990033975,0.7624275431700065,1.3349824516559384e-17
4.923882631706737,0.058712556662831684,0.0004594149324154916,0.7620399445235088,0.0
5.196597302486197,0.05444741314374401,0.0003980342741871218,0.7617064921628004,1.1973352318646228e-17
5.484416576121015,0.05044691293803573,0.00034457152791007715,0.7614321570416329,1.1321906333434592e-17
5.788177037701274,0.04670052355218299,0.0002980542433778928,0.7612215444777023,2.974474486537347e-17
