Bx_T,phonon_model,threshold,n_valid,n_in_model,q16,median,q84
0.3,conservative_lower_bound,T_0.01pct,122,122,85.08326076144886,91.49707468808998,96.36865491523766
0.3,conservative_lower_bound,T_sign,122,122,96.40536073872458,103.26155633527301,109.68389248190996
0.3,saturation,T_1pct,128,128,65.99551405540826,70.54614670347472,75.58719841575927
0.3,saturation,T_0.1pct,128,128,75.15176495633196,80.59069691665172,86.47598729459034
0.3,saturation,T_0.01pct,128,128,83.82295521575251,90.0588416141475,97.06675330653641
0.3,saturation,T_sign,128,128,94.49494151162689,101.77849328312878,110.1339195308817
0.3,naive_T5_extrapolation,T_1pct,126,126,67.06368706443104,70.62041827652263,75.9327631733172
0.3,naive_T5_extrapolation,T_0.1pct,126,126,75.9788337305361,80.0386948472557,86.23062604054273
0.3,naive_T5_extrapolation,T_0.01pct,126,126,84.07577339328037,88.57780486770585,95.58432072502563
0.3,naive_T5_extrapolation,T_sign,126,126,93.53951131772702,98.86821328433841,106.2172213570535
0.4,full_happacher,T_1pct,125,125,65.9491360423214,69.6570902992071,74.25853596999181
0.4,full_happacher,T_0.1pct,125,125,75.81415385630748,80.11820078780615,85.78603847219274
0.4,full_happacher,T_0.01pct,125,125,84.85828721546487,89.76287156265572,96.53193022589849
0.4,full_happacher,T_sign,125,125,96.87377735169696,102.44667305415145,110.11243786604605
0.4,conservative_lower_bound,T_1pct,120,120,67.20974643435144,71.39455624035065,74.84653121319877
0.4,conservative_lower_bound,T_0.1pct,120,120,77.11980072223639,82.22776907179943,86.45815955652664
0.4,conservative_lower_bound,T_0.01pct,120,120,86.31357405106628,92.48949575579783,97.65047696985108
0.4,conservative_lower_bound,T_sign,120,120,98.59922487182223,105.67992040012572,111.65339168321009
0.4,saturation,T_1pct,121,121,66.26643580970706,70.6570858356969,75.74553573978746
0.4,saturation,T_0.1pct,121,121,76.3896158906145,81.39330543017441,87.53286175870207
0.4,saturation,T_0.01pct,121,121,85.75612998241105,91.37954342567976,98.55489539536308
0.4,saturation,T_sign,121,121,97.11899374519943,104.41667316506911,112.98721755438187
0.4,naive_T5_extrapolation,T_1pct,134,134,65.9768790078604,70.44556767668196,74.19564999749254
0.4,naive_T5_extrapolation,T_0.1pct,134,134,75.58501807787181,80.59665599791718,84.74599331853928
0.4,naive_T5_extrapolation,T_0.01pct,134,134,84.21966982207422,89.4868132433451,94.28092444142445
0.4,naive_T5_extrapolation,T_sign,134,134,93.7985310231596,100.24079053497945,105.76476905331593
0.5,full_happacher,T_1pct,129,129,65.62747789320862,69.35066346528265,73.41330059622365
0.5,full_happacher,T_0.1pct,129,129,75.97055363892846,80.5874775710318,85.44620991528285
0.5,full_happacher,T_0.01pct,129,129,85.51158809148714,90.80097831877117,96.73532263241849
0.5,full_happacher,T_sign,129,129,97.65950881535096,104.10701362290976,111.21048928033385
0.5,conservative_lower_bound,T_1pct,103,103,66.41950731302033,70.44682645234928,75.26857689208036
0.5,conservative_lower_bound,T_0.1pct,103,103,77.15256033735375,82.00523979388437,87.61512031810875
0.5,conservative_lower_bound,T_0.01pct,103,103,86.87246238813259,92.62443620736195,99.05390050733311
0.5,conservative_lower_bound,T_sign,103,103,99.5433692144694,106.1257376831022,114.16524687872158
0.5,saturation,T_1pct,132,132,65.11877098795924,69.50961271586121,74.35232991017911
0.5,saturation,T_0.1pct,132,132,75.6873132267627,80.96836787580598,86.90803956695326
0.5,saturation,T_0.01pct,132,132,85.03537845748828,91.58009234802083,98.64385395770056
0.5,saturation,T_sign,132,132,96.8349868246914,104.65404846915348,112.94832588591548
0.5,naive_T5_extrapolation,T_1pct,136,136,66.1703387073722,69.73592086464538,74.14621974403704
0.5,naive_T5_extrapolation,T_0.1pct,136,136,76.38743615465656,80.63887395934407,85.59294374859334
0.5,naive_T5_extrapolation,T_0.01pct,136,136,85.29609946713899,90.02698452421359,95.36716267301561
0.5,naive_T5_extrapolation,T_sign,136,136,95.89917422176008,101.1868180068917,107.26234595593243
