two_photon_detuning_GHz,two_photon_detuning_MHz,A_control_off,transparency_reduction,A_control_on,C
-0.0056500000000000005,-5.65,0.008676964579288187,1.3320937755652305e-06,0.008675632485512622,0.000153520711464574
-0.005625,-5.625,0.008676964579288187,1.338522573628951e-06,0.008675626056714559,0.00015426161549904083
-0.005599999999999999,-5.599999999999999,0.008676964579288187,1.34501316378311e-06,0.008675619566124405,0.0001550096409283081
-0.005575,-5.575,0.008676964579288187,1.3515664343666138e-06,0.00867561301285382,0.00015576489013137
-0.005549999999999999,-5.549999999999999,0.008676964579288187,1.3581832907149673e-06,0.008675606395997473,0.00015652746744603923
-0.005525,-5.525,0.008676964579288187,1.364864655566349e-06,0.008675599714632621,0.00015729747921574611
-0.0055,-5.5,0.008676964579288187,1.3716114694793333e-06,0.008675592967818708,0.00015807503383768025
-0.005474999999999999,-5.474999999999999,0.008676964579288187,1.3784246912626299e-06,0.008675586154596925,0.0001588602418123169
-0.00545,-5.45,0.008676964579288187,1.3853052984172614e-06,0.00867557927398977,0.00015965321579437686
-0.005424999999999999,-5.424999999999999,0.008676964579288187,1.3922542875915903e-06,0.008675572325000595,0.00016045407064526747
-0.0054,-5.4,0.008676964579288187,1.3992726750496295e-06,0.008675565306613137,0.0001612629234870541
-0.005375,-5.375,0.008676964579288187,1.4063614971531e-06,0.008675558217791035,0.00016207989375801628
-0.005349999999999999,-5.349999999999999,0.008676964579288187,1.4135218108576878e-06,0.00867555105747733,0.00016290510326984022
-0.005325,-5.325,0.008676964579288187,1.4207546942240101e-06,0.008675543824593963,0.00016373867626650625
-0.005299999999999999,-5.299999999999999,0.008676964579288187,1.4280612469437833e-06,0.008675536518041243,0.00016458073948492872
-0.005275,-5.275,0.008676964579288187,1.4354425908817217e-06,0.008675529136697306,0.0001654314222174084
-0.0052499999999999995,-5.249999999999999,0.008676964579288187,1.4428998706337303e-06,0.008675521679417554,0.00016629085637596302
-0.0052250000000000005,-5.2250000000000005,0.008676964579288187,1.4504342541019405e-06,0.008675514145034086,0.0001671591765585986
-0.0052,-5.2,0.008676964579288187,1.4580469330872062e-06,0.0086755065323551,0.00016803652011759357
-0.005174999999999999,-5.174999999999999,0.008676964579288187,1.4657391238996548e-06,0.008675498840164287,0.00016892302722986295
-0.00515,-5.15,0.008676964579288187,1.4735120679879574e-06,0.008675491067220199,0.00016981884096948068
-0.005124999999999999,-5.124999999999999,0.008676964579288187,1.481367032587972e-06,0.0086754832122556,0.0001707241073824339
-0.0051,-5.1000000000000005,0.008676964579288187,1.4893053113914582e-06,0.008675475273976796,0.00017163897556369108
-0.005075,-5.074999999999999,0.008676964579288187,1.4973282252356012e-06,0.008675467251062953,0.00017256359773666773
-0.005049999999999999,-5.049999999999999,0.008676964579288187,1.5054371228140791e-06,0.008675459142165373,0.00017349812933517556
